"SEASON","TMID","TMACTIVE","ABBREV","LOCATION","NICKNAME","TEAMSHORT","TEAMCODE","GENDER","LEAGUE","DIVISION","CONFERENCE","COACH","LEAGUEID","COLLEGEID","CSTV_TMID","TMCITY","TMSTATE","TMLOCATION"
"2020-2021",3,1,SHS,Simonds High School,Seabees,Simonds Seabees,SHS02,0,NBIAA,AAA SRB,South,Doug Deering,0,0,"1",Saint John,NB,Simonds High School
"2020-2021",4,1,SJHS,Saint John High School,Greyhounds,Saint John High,SJHS02,0,NBIAA,AAA SRB,South,Jeff White,0,0,"1",Saint John,NB,Saint John High School
"2020-2021",5,1,SRHS,Sussex Regional High School,Sonics,Sussex Sonics,SRHS02,0,NBIAA,AAA SRB,South,Mark Muscroft,0,0,"1",Sussex,NB,Sussex Regional High Scho
"2020-2021",6,1,STM,St. Malachy's Memorial High School,Saints,St. Malachy's,STM02,0,NBIAA,AAA SRB,South, ,0,0,"1",Saint John,NB,St. Malachy's High School
"2020-2021",7,1,RHS,Rothesay High School,Red Hawks,Rothesay Red Hawks,ROTH02,0,NBIAA,AA SRB,South,Paul & Peter Hickey,0,0,"1",Rothesay,NB,Rothesay High School
"2019-2020",1,1,KVHS,Kennebecasis Valley Crusaders,Crusaders,KVHS Crusaders,KVHS02,0,NBIAA,AAA,South,Paul Vaughan,0,0,"1",Quispamsis,NB,Kennebecasis Valley High
"2019-2020",2,1,HVHS,Harbour View High School,Vikings,Harbour View Vikings,HVHS02,0,NBIAA,AAA SRB,South, ,0,0,"1",Saint John,NB,Harbour View High School
"2019-2020",3,1,RHS,Rothesay High School,Red Hawks,Rothesay Red Hawks,ROTH02,0,NBIAA,AA SRB,South,Paul & Peter Hickey,0,0,"1",Rothesay,NB,Rothesay High School
"2019-2020",4,1,SHS,Simonds High School,Seabees,Simonds Seabees,SHS02,0,NBIAA,AAA SRB,South,Doug Deering,0,0,"1",Saint John,NB,Simonds High School
"2019-2020",5,1,SJHS,Saint John High School,Greyhounds,Saint John High,SJHS02,0,NBIAA,AAA SRB,South,Jeff White,0,0,"1",Saint John,NB,Saint John High School
"2019-2020",6,1,SRHS,Sussex Regional High School,Sonics,Sussex Sonics,SRHS02,0,NBIAA,AAA SRB,South,Byron Barton,0,0,"1",Sussex,NB,Sussex Regional High Scho
"2019-2020",7,1,FHS,Fredericton High School,Black Kats,FHS Black Kats,FHS02,0,NBIAA,AAA SRB,West,Mike King,0,0,"1",Fredericton,NB,Fredericton High School
"2019-2020",8,1,CGHS,Colonel Gray High School,Colonels,Colonel Gray,GRAY02,0, , , ,J Hammer,0,0,"1",Charlottetown,PE,Colonel Gray High School
"2019-2020",9,1,WHS,Woodstock Thunder,Thunder,Woodstock Thunder,WHS02,0,NBIAA,AA SRB,West,Scott Jones,0,0,"1",Woodstock,NB,Woodstock High School
"2019-2020",10,1,MVHS,Miramichi Valley High School,Palamoo,Miramichi Valley,MVHS02,0,NBIAA,AAA SRB,North,Jim Watters,0,0,"1",Miramichi,NB,Miramichi Valley High
"2019-2020",11,1,MHS,Moncton High School,Purple Knights,Moncton Purple Knights,MONC02,0,NBIAA,AAA SRB,East,Neil Smith,0,0,"1",Moncton,NB,Moncton High School
"2019-2020",12,1,HTHS,Harrison Trimble High School,Trogans,HTHS Trojans,HTHS02,0,NBIAA,AAA,East, ,0,0,"1",Moncton,NB,Harrison Trimble High
"2019-2020",13,1,SSHS,Sugarloaf Sr. High School,Bruins,SSHS Bruins,SUG02,0,NBIAA,A,North, ,0,0,"1",Campbelton,NB,Sugarloaf Sr. High
"2019-2020",14,1,ARHS,Amherst Regional High School,Vikings,ARHS Vikings,ARHS02DakS,0, , , , ,0,0,"1",Amherst,NS,Amherst Region High
"2019-2020",15,1,HGS,Halifax Grammar School,Gryphones,Halifax Grammar,HGS02,0, , , ,Tim McGarrigle,0,0,"1",Halifax,NB,Homburg Centre
"2019-2020",16,1,ADHS,Auburn Drive High School,Eagles,Auburn Drive Eagles,ADHS02,0,NSSAF,D1, ,Colter Simmonds,0,0,"1",Dartmouth,NS,Auburn Drive High School
"2019-2020",17,1,SJA,Sir John A Macdonald,Flames,SJA Flames,SJA02,0,D1, , , ,0,0,"1",Halifax,NS,SJA Macdonald High School
"2019-2020",18,1,LHHS,Leo Hayes High School,Lions,Leo Hayes Lions,LHHS02,0,NBIAA,AAA SRB,West,Dan Goggin,0,0,"1",Fredericton,NB,Leo Hayes High School
"2019-2020",19,1,SSF,St. Francois,St. Francois,St. Francois,SSF02,0, , , , ,0,0,"1", , , 
"2019-2020",20,1,TOHS,Three Oaks High School, ,Three Oaks,OAKS02,0, , , , ,0,0,"1", , , 
"2019-2020",21,1,RHS,Riverview High School,Royals,Riverview Royals,RIV02,0,NBIAA,AAA SRB,East, ,0,0,"1",Riverview,NB,Riverview High School
"2022-2023",1,1,KVHS,Kennebecasis Valley Blue Knights,Blue Knights,KVHS Blue Knights,KVHS02,0,NBIAA,AAA,South,Paul Vaughan,0,0,"1",Quispamsis,NB,Kennebecasis Valley High
"2022-2023",2,1,RHS,Rothesay High School,Red Hawks,Rothesay Red Hawks,ROTH02,0,NBIAA,AAA SRB,South,Paul & Peter Hickey,0,0,"1",Rothesay,NB,Rothesay High School
"2022-2023",3,1,SRHS,Sussex Regional High School,Sonics,Sussex Sonics,SRHS02,0,NBIAA,AAA SRB,South,Mark Muscroft,0,0,"1",Sussex,NB,Sussex Regional High Scho
"2022-2023",4,1,SHS,Simonds High School,Seabees,Simonds Seabees,SHS02,0,NBIAA,AAA SRB,South,Doug Deering,0,0,"1",Saint John,NB,Simonds High School
"2022-2023",5,1,HVHS,Harbour View High School,Vikings,Harbour View Vikings,HVHS02,0,NBIAA,AAA SRB,South,JP Craig,0,0,"1",Saint John,NB,Harbour View High School
"2022-2023",6,1,SJHS,Saint John High School,Greyhounds,Saint John High,SJHS02,0,NBIAA,AAA SRB,South, ,0,0,"1",Saint John,NB,Saint John High School
"2022-2023",7,1,STM,St. Malachy's Memorial High School,Saints,St. Malachy's,STM02,0,NBIAA,AAA SRB,South,Steve Roderick,0,0,"1",Saint John,NB,St. Malachy's High School
"2022-2023",8,1,FHS,Fredericton High School,Black Kats,FHS Black Kats,FHS02,0,NBIAA,AAA SRB,West,Mike King,0,0,"1",Fredericton,NB,Fredericton High School
"2022-2023",9,1,RHS,Riverview High School,Royals,Riverview Royals,RIV02,0,NBIAA,AAA SRB,East, ,0,0,"1",Riverview,NB,Riverview High School
"2022-2023",10,1,HTHS,Harrison Trimble High School,Trogans,HTHS Trojans,HTHS02,0,NBIAA,AAA,East, ,0,0,"1",Moncton,NB,Harrison Trimble High
"2022-2023",11,1,CNHS,Carleton North High School,North Stars,Carleton North Stars,CNHS02,0,NBIAA,AA SRB,West,Jamie Gray,0,0,"1",Florenceville,NB,Carleton North HS
"2022-2023",12,1,BHS,Bluefield High School,Bobcats,Bluefield Bobcats,BFHS02,0, , , , ,0,0,"1",Hampshire,PE,Bluefield High School
"2022-2023",13,1,SHS,Sackville High School,Kingfishers,Sackville Kingfishers,SAC02,0, , , , ,0,0,"1",Lower Sackville,NS,Sackville High School
"2022-2023",14,1,CGHS,Colonel Gray High School,Colonels,Colonel Gray Colonels,CGHS02,0, , , , ,0,0,"1",Charlottetown,PE,Colonel Gray High School
"2022-2023",15,1,HGS,Halifax Grammar School,Gryphones,Halifax Grammar,HGS02,0, , , ,Tim McGarrigle,0,0,"1",Halifax,NB,Homburg Centre
"2022-2023",16,1,BHS,Brebeuf,Brebeuf,Brebeuf,BRE02,0, , , , ,0,0,"1",Montreal,QC, 
"2022-2023",17,1,LHHS,Leo Hayes High School,Lions,Leo Hayes Lions,LHHS02,0,NBIAA,AAA SRB,West,Dan Goggin,0,0,"1",Fredericton,NB,Leo Hayes High School
"2022-2023",18,1,DHS,Dartmouth High School,Spartan,DHS Spartans,DART02,0,NSSAF,D1, , ,0,0,"1",Dartmouth,NS,Dartmouth High School
"2022-2023",19,1,ESA,Ecole Sainte-Anne,Castors,ESA Castors,ESA02,0, , , , ,0,0,"1",Fredericton,NB,Ecole Sainte-Anne
"2022-2023",20,1,BMHS,Bernice McNaughton,Highlanders,BMHS Highlanders,BMHS02,0,NBIAA,AAA SRB,East,Orlando Palmer,0,0,"1",Moncton,NB,Bernice McNaughton High
"2022-2023",21,1,Add,TBD, ,TBD,TBD02,0, , , , ,0,0,"1", , , 
"2023-2024",1,1,KVHS,Kennebecasis Valley Blue Knights,Blue Knights,KVHS Blue Knights,KVHS02,0,NBIAA,AAA,South,Ryan Vaughan,0,0,"1",Quispamsis,NB,Kennebecasis Valley High
"2023-2024",2,1,CNHS,Carleton North High School,North Stars,Carleton North Stars,CNHS02,0,NBIAA,AA SRB,West,Jamie Gray,0,0,"1",Florenceville,NB,Carleton North HS
"2023-2024",3,1,FHS,Fredericton High School,Black Kats,FHS Black Kats,FHS02,0,NBIAA,AAA SRB,West,Mike King,0,0,"1",Fredericton,NB,Fredericton High School
"2023-2024",4,1,HVHS,Harbour View High School,Vikings,Harbour View Vikings,HVHS02,0,NBIAA,AAA SRB,South,JP Craig,0,0,"1",Saint John,NB,Harbour View High School
"2023-2024",5,1,LHHS,Leo Hayes High School,Lions,Leo Hayes Lions,LHHS02,0,NBIAA,AAA SRB,West,Dan Goggin,0,0,"1",Fredericton,NB,Leo Hayes High School
"2023-2024",6,1,RHS,Rothesay High School,Red Hawks,Rothesay Red Hawks,ROTH02,0,NBIAA,AAA SRB,South,Paul & Peter Hickey,0,0,"1",Rothesay,NB,Rothesay High School
"2023-2024",7,1,SHS,Simonds High School,Seabees,Simonds Seabees,SHS02,0,NBIAA,AAA SRB,South,Doug Deering,0,0,"1",Saint John,NB,Simonds High School
"2023-2024",8,1,SJHS,Saint John High School,Greyhounds,Saint John High,SJHS02,0,NBIAA,AAA SRB,South, ,0,0,"1",Saint John,NB,Saint John High School
"2023-2024",9,1,SRHS,Sussex Regional High School,Sonics,Sussex Sonics,SRHS02,0,NBIAA,AAA SRB,South,Mark Muscroft,0,0,"1",Sussex,NB,Sussex Regional High Scho
"2023-2024",10,1,STM,St. Malachy's Memorial High School,Saints,St. Malachy's,STM02,0,NBIAA,AAA SRB,South, ,0,0,"1",Saint John,NB,St. Malachy's High School
"2023-2024",11,1,FHS,Fundy High School,Mariners,Fundy High Mariners,FUN02,0,NBIAA,SRB AA,South, ,0,0,"1",St. George,NB,Fundy High School
"2023-2024",12,1,HTHS,Harrison Trimble High School,Trogans,HTHS Trojans,HTHS02,0,NBIAA,AAA,East, ,0,0,"1",Moncton,NB,Harrison Trimble High
"2023-2024",13,1,MILLW,Millwood Knights,Millwood Knights,Millwood Knights, ,0, , , , ,0,0,"1", , , 
"2023-2024",14,1,ARMBR,Armbrae Academy Ospreys,Armbrae Academy Ospreys,Armbrae Academy Ospreys, ,0, , , , ,0,0,"1", , , 
"2023-2024",15,1,HORTO,Horton Griffins,Horton Griffins,Horton Griffins, ,0, , , , ,0,0,"1", , , 
"2023-2024",17,1,ADHS,Auburn Drive High School,Eagles,Auburn Drive Eagles,ADHS02,0,NSSAF,D1, ,Colter Simmonds,0,0,"1",Dartmouth,NS,Auburn Drive High School
"2023-2024",18,1,CPA,CP Allen Cheetahs,Cheetahs,CP Allen Cheetahs,CPA02,0, , , , ,0,0,"1",Bedford,NS,CP Allen High School
"2023-2024",19,1,BREBE,Brebeuf,Brebeuf,Brebeuf, ,0, , , , ,0,0,"1", , , 
"2023-2024",20,1,EMM,Mathieu-Martin,Mathieu-Martin,Mathieu-Martin, ,0, , , , ,0,0,"1", , , 
"2024-2025",1,1,HVHS,Harbour View High School,Vikings,Harbour View Vikings,HVHS02,0,NBIAA,AAA SRB,South,JP Craig,0,0,"1",Saint John,NB,Harbour View High School
"2024-2025",2,1,KVHS,Kennebecasis Valley Blue Knights,Blue Knights,KVHS Blue Knights,KVHS02,0,NBIAA,AAA,South,Ryan Vaughan,0,0,"1",Quispamsis,NB,Kennebecasis Valley High
"2024-2025",3,1,RHS,Riverview High School,Royals,Riverview Royals,RIV02,0,NBIAA,AAA SRB,East, ,0,0,"1",Riverview,NB,Riverview High School
"2024-2025",5,1,STM,St. Malachy's Memorial High School,Saints,St. Malachy's,STM02,0,NBIAA,AAA SRB,South, ,0,0,"1",Saint John,NB,St. Malachy's High School
"2024-2025",6,1,RHS,Rothesay High School,Red Hawks,Rothesay Red Hawks,ROTH02,0,NBIAA,AAA SRB,South,Paul & Peter Hickey,0,0,"1",Rothesay,NB,Rothesay High School
"2024-2025",7,1,SJHS,Saint John High School,Greyhounds,Saint John High,SJHS02,0,NBIAA,AAA SRB,South, ,0,0,"1",Saint John,NB,Saint John High School
"2024-2025",8,1,SHS,Simonds High School,Seabees,Simonds Seabees,SHS02,0,NBIAA,AAA SRB,South,Doug Deering,0,0,"1",Saint John,NB,Simonds High School
"2024-2025",9,1,CPA,CP Allen Cheetahs,Cheetahs,CP Allen Cheetahs,CPA02,0, , , , ,0,0,"1",Bedford,NS,CP Allen High School
"2024-2025",10,1,FHS,Fredericton High School,Black Kats,FHS Black Kats,FHS02,0,NBIAA,AAA SRB,West,Mike King,0,0,"1",Fredericton,NB,Fredericton High School
"2024-2025",11,1,SRHS,Sussex Regional High School,Sonics,Sussex Sonics,SRHS02,0,NBIAA,AAA SRB,South,Mark Muscroft,0,0,"1",Sussex,NB,Sussex Regional High Scho
"2024-2025",12,1,CGHS,Colonel Gray High School,Colonels,Colonel Gray Colonels,CGHS02,0, , , , ,0,0,"1",Charlottetown,PE,Colonel Gray High School
"2024-2025",13,1,NNEC,North Nova Educational Center,Gryphons,NNEC Gryphons,NNEC02,0, , , , ,0,0,"1",New Glasgow,NS,North Nova School
"2024-2025",14,1,LHHS,Leo Hayes High School,Lions,Leo Hayes Lions,LHHS02,0,NBIAA,AAA SRB,West,Dan Goggin,0,0,"1",Fredericton,NB,Leo Hayes High School
"2024-2025",15,1,HTHS,Harrison Trimble High School,Trogans,HTHS Trojans,HTHS02,0,NBIAA,AAA,East, ,0,0,"1",Moncton,NB,Harrison Trimble High
"2024-2025",16,1,BHS,Bayview High School,Sharks,Bayview Sharks,BVHS02,0, , , , ,0,0,"1", , , 
"2024-2025",17,1,ARMBR,Armbrae Academy Ospreys,Armbrae Academy Ospreys,Armbrae Academy Ospreys, ,0, , , , ,0,0,"1", , , 
"2021-2022",1,1,KVHS,Kennebecasis Valley Crusaders,Crusaders,KVHS Crusaders,KVHS02,0,NBIAA,AAA,South,Paul Vaughan,0,0,"1",Quispamsis,NB,Kennebecasis Valley High
"2021-2022",2,1,HVHS,Harbour View High School,Vikings,Harbour View Vikings,HVHS02,0,NBIAA,AAA SRB,South, ,0,0,"1",Saint John,NB,Harbour View High School
"2021-2022",3,1,RHS,Rothesay High School,Red Hawks,Rothesay Red Hawks,ROTH02,0,NBIAA,AA SRB,South,Paul & Peter Hickey,0,0,"1",Rothesay,NB,Rothesay High School
"2021-2022",4,1,SHS,Simonds High School,Seabees,Simonds Seabees,SHS02,0,NBIAA,AAA SRB,South,Doug Deering,0,0,"1",Saint John,NB,Simonds High School
"2021-2022",5,1,SJHS,Saint John High School,Greyhounds,Saint John High,SJHS02,0,NBIAA,AAA SRB,South,Jeff White,0,0,"1",Saint John,NB,Saint John High School
"2021-2022",6,1,SRHS,Sussex Regional High School,Sonics,Sussex Sonics,SRHS02,0,NBIAA,AAA SRB,South,Byron Barton,0,0,"1",Sussex,NB,Sussex Regional High Scho
"2021-2022",7,1,STM,St. Malachy's Memorial High School,Saints,St. Malachy's,STM02,0,NBIAA,AAA SRB,South, ,0,0,"1",Saint John,NB,St. Malachy's High School
"2021-2022",8,1,RNS,Rothesay Netherwood School,River Hawkes,RNS River Hawks,RNS02,0,NBIAA,Exhib,South,Damain Gay,0,0,"1",Rothesay,NB,Rothesay Netherwood
"2021-2022",9,1,RHS,Riverview High School,Royals,Riverview Royals,RIV02,0,NBIAA,AAA SRB,East, ,0,0,"1",Riverview,NB,Riverview High School
"2021-2022",10,1,FHS,Fredericton High School,Black Kats,FHS Black Kats,FHS02,0,NBIAA,AAA SRB,West,Mike King,0,0,"1",Fredericton,NB,Fredericton High School
"2021-2022",11,1,WHS,Woodstock Thunder,Thunder,Woodstock Thunder,WHS02,0,NBIAA,AA SRB,West,Scott Jones,0,0,"1",Woodstock,NB,Woodstock High School
"2021-2022",12,1,LHHS,Leo Hayes High School,Lions,Leo Hayes Lions,LHHS02,0,NBIAA,AAA SRB,West,Dan Goggin,0,0,"1",Fredericton,NB,Leo Hayes High School
"2021-2022",13,1,MHS,Moncton High School,Purple Knights,Moncton Purple Knights,MONC02,0,NBIAA,AAA SRB,East,Neil Smith,0,0,"1",Moncton,NB,Moncton High School
"2021-2022",14,1,HTHS,Harrison Trimble High School,Trogans,HTHS Trojans,HTHS02,0,NBIAA,AAA,East, ,0,0,"1",Moncton,NB,Harrison Trimble High
"2016-2017",1,1,KVHS,Kennebecasis Valley Crusaders,Crusaders,KVHS Crusaders,KVHS02,0,NBIAA,AAA,South,Paul Vaughan,0,0,"1",Quispamsis,NB,Kennebecasis Valley High
"2016-2017",2,1,DHS,Dartmouth High School,Spartan,DHS Spartans,DART02,0,NSSAF,D1, , ,0,0,"1",Dartmouth,NS,Dartmouth High School
"2016-2017",3,1,FHS,Fredericton High School,Black Kats,FHS Black Kats,FHS02,0,NBIAA,AAA SRB,West,Mike King,0,0,"1",Fredericton,NB,Fredericton High School
"2016-2017",4,1,HHS,Horton High School,Griffons,Horton High Griffons,HORT02,0, , , , ,0,0,"1",Wolfville,NS,Horton High School
"2016-2017",5,1,HVHS,Harbour View High School,Vikings,Harbour View Vikings,HVHS02,0,NBIAA,AAA SRB,West, ,0,0,"1",Saint John,NB,Harbour View High School
"2016-2017",6,1,LHHS,Leo Hayes High School,Lions,Leo Hayes Lions,LHHS02,0,NBIAA,AAA SRB,West,Keith Gross,0,0,"1",Fredericton,NB,Leo Hayes High School
"2016-2017",7,1,MHS,Moncton High School,Purple Knights,Moncton Purple Knights,MONC02,0,NBIAA,AAA SRB,East,Andrew McPherson,0,0,"1",Moncton,NB,Moncton High School
"2016-2017",8,1,RHS,Riverview High School,Royals,Riverview Royals,RIV02,0,NBIAA,AAA SRB,East, ,0,0,"1",Riverview,NB,Riverview High School
"2016-2017",9,1,RNS,Rothesay Netherwood School,River Hawkes,RNS River Hawks,RNS02,0,NBIAA,Exhib,South,Damain Gay,0,0,"1",Rothesay,NB,Rothesay Netherwood
"2016-2017",10,1,RHS,Rothesay High School,Red Hawks,Rothesay Red Hawks,ROTH02,0,NBIAA,AA SRB,South,Paul & Peter Hickey,0,0,"1",Rothesay,NB,Rothesay High School
"2016-2017",11,1,SHS,Simonds High School,Seabees,Simonds Seabees,SHS02,0,NBIAA,AAA SRB,South,Doug Deering,0,0,"1",Saint John,NB,Simonds High School
"2016-2017",12,1,SJHS,Saint John High School,Greyhounds,Saint John High,SJHS02,0,NBIAA,AAA SRB,South,Jeff White,0,0,"1",Saint John,NB,Saint John High School
"2016-2017",13,1,SRHS,Sussex Regional High School,Sonics,Sussex Sonics,SRHS02,0,NBIAA,AAA SRB,South,Byron Barton,0,0,"1",Sussex,NB,Sussex Regional High Scho
"2016-2017",14,1,STM,St. Malachy's Memorial High School,Saints,St. Malachy's,STM02,0,NBIAA,AAA SRB,South, ,0,0,"1",Saint John,NB,St. Malachy's High School
"2016-2017",15,1,MVHS,Miramichi Valley High School,Palamoo,Miramichi Valley,MVHS02,0,NBIAA,AAA SRB,North,Jim Watters,0,0,"1",Miramichi,NB,Miramichi Valley High
"2016-2017",16,1,ARHS,Amherst Regional High School,Vikings,Amherst Viking,ARHS02,0, , , , ,0,0,"1",Amherst,NS,Amherst Regional High
"2016-2017",17,1,JMH,James M. Hill,Tommies,JMH Tommies,JMH02,0, , , , ,0,0,"1",Miramichi,NB,James M. Hill
"2016-2017",18,1,CRHS,Charlottetown Rural,Raiders,Charlottetown Rural,RURAL02,0, , , , ,0,0,"1",Charlottetown,PE,Charlottetown Rural
"2016-2017",19,1,HTHS,Harrison Trimble,Trojans,HTHS Trojans,HTHS02,0,NBIAA,AAA East, , ,0,0,"1",Moncton,NB,Harrison Trimble High
"2016-2017",21,1,CNHS,Carleton North High School,North Stars,Carleton North Stars,CNHS02,0,NBIAA,AA SRB,West,Jamie Gray,0,0,"1",Florenceville,NB,Carleton North HS
"2016-2017",22,1,BMHS,Bernice McNaughton,Highlanders,BMHS Highlanders,BMHS02,0,NBIAA,AAA SRB,East,Steve Chapman,0,0,"1",Moncton,NB,Bernice McNaughton High
"2016-2017",23,1,BHS,Brebeuf,Brebeuf,Brebeuf,BRE02,0, , , , ,0,0,"1",Montreal,QC, 
"2016-2017",24,1,OHS,Oromocto High School,Blues,Oromocto Blues,OHS02,0,NBIAA,AAA SRB,West, ,0,0,"1",Oromocto,NB,Oromocto High School
"2025-2026",1,1,KVHS,Kennebecasis Valley Blue Knights,Blue Knights,KVHS Blue Knights,KVHS02,0,NBIAA,AAA,South,Ryan Vaughan,0,0,"1",Quispamsis,NB,Kennebecasis Valley High
"2025-2026",2,1,RHS,Rothesay High School,Red Hawks,Rothesay Red Hawks,ROTH02,0,NBIAA,AAA SRB,South,Paul & Peter Hickey,0,0,"1",Rothesay,NB,Rothesay High School
"2025-2026",3,1,SRHS,Sussex Regional High School,Sonics,Sussex Sonics,SRHS02,0,NBIAA,AAA SRB,South,Mark Muscroft,0,0,"1",Sussex,NB,Sussex Regional High Scho
"2025-2026",4,1,MHS,Millwood Knights,Knights,Millwood Knights,MILL02,0, , , , ,0,0,"1",Halifax,NS,Millwood High School
"2025-2026",5,1,ADHS,Auburn Eagles,Eagles,Auburn Eagles,ADHS02,0, , , , ,0,0,"1",Dartmouth,NS,Auburn Drive High School
"2025-2026",6,1,BHS,Bayview High School,Sharks,Bayview Sharks,BVHS02,0, , , , ,0,0,"1",Halifax,NS,Bayview High School
"2025-2026",7,1,CEC,Cobequid Educational Centre,Cougars,CEC Cougars,CEC02,0, , , , ,0,0,"1",Truro,NS,Cobiquid Ed. Center
"2025-2026",8,1,HVHS,Harbour View High School,Vikings,Harbour View Vikings,HVHS02,0,NBIAA,AAA SRB,South,JP Craig,0,0,"1",Saint John,NB,Harbour View High School
"2025-2026",9,1,LHHS,Leo Hayes High School,Lions,Leo Hayes Lions,LHHS02,0,NBIAA,AAA SRB,West,Dan Goggin,0,0,"1",Fredericton,NB,Leo Hayes High School
"2025-2026",10,1,STM,St. Malachy's Memorial High School,Saints,St. Malachy's,STM02,0,NBIAA,AAA SRB,South, ,0,0,"1",Saint John,NB,St. Malachy's High School
"2025-2026",11,1,WHS,Woodstock Thunder,Thunder,Woodstock Thunder,WHS02,0,NBIAA,AA SRB,West,Scott Jones,0,0,"1",Woodstock,NB,Woodstock High School
"2025-2026",12,1,BMHS,Bernice McNaughton,Highlanders,BMHS Highlanders,BMHS02,0,NBIAA,AAA SRB,East,Orlando Palmer,0,0,"1",Moncton,NB,Bernice McNaughton High
"2025-2026",13,1,HORTO,Horton Griffins,Horton Griffins,Horton Griffins, ,0, , , , ,0,0,"1", , , 
"2025-2026",14,1,HTHS,Harrison Trimble High School,Trogans,HTHS Trojans,HTHS02,0,NBIAA,AAA,East, ,0,0,"1",Moncton,NB,Harrison Trimble High
"2025-2026",15,1,DHS,Dartmouth High School,Spartan,DHS Spartans,DART02,0,NSSAF,D1, , ,0,0,"1",Dartmouth,NS,Dartmouth High School
"2025-2026",16,1,CGHS,Colonel Gray High School,Colonels,Colonel Gray Colonels,CGHS02,0, , , , ,0,0,"1",Charlottetown,PE,Colonel Gray High School
"2025-2026",17,1,RHS,Riverview High School,Royals,Riverview Royals,RIV02,0,NBIAA,AAA SRB,East, ,0,0,"1",Riverview,NB,Riverview High School
"2025-2026",18,1,FHS,Fredericton High School,Black Kats,FHS Black Kats,FHS02,0,NBIAA,AAA SRB,West,Mike King,0,0,"1",Fredericton,NB,Fredericton High School
"2025-2026",19,1,SJHS,Saint John High School,Greyhounds,Saint John High,SJHS02,0,NBIAA,AAA SRB,South, ,0,0,"1",Saint John,NB,Saint John High School
"2025-2026",20,1,CHS,Citadel High School,Phoenix,Citadel Phoenix,CHS02,0,NSSAF,D1, , ,0,0,"1",Halifax,NS,Citadel High School
"2025-2026",21,1,ARMBR,Armbrae Academy Ospreys,Armbrae Academy Ospreys,Armbrae Academy Ospreys, ,0, , , , ,0,0,"1", , , 
